id palo,num. sent.,num. luogo,num. tab.,sent.,via lun,meta ravvicinata,tempo ravv,meta intermedia,tempo interm,meta itinerario,tempo itiner,dir,localita-1,localita-2,quota
00/25,00,25,1,00,SI,Passo di Viamaggio,0:10,Monte dei Frati,3:30,Bocca Trabaria,7:30,D,,,
00/25,00,25,2,00,,Valdazze,1:20,Passo delle Rocche,3:00,Balze,5:30,S,,,
00/25,00,25,3,803,,Svolta del Podere,1:10,Fresciano,2:20,Poggio Tre Vescovi,5:00,D,,,
804/7,804,7,1,804,,Sportino,0:30,Passo delle Vacche,1:00,Poggio Tre Termini,1:30,D,,,
804/7,804,7,2,804,,Incrocio San Martino,0:30,Salaiolo,1:00,Sansepolcro,1:30,S,,,
00/03,00,03,1,00,,Poggio Tre Termini,,,,Bocca Trabaria,,D,,,
00/03,00,03,2,805,,Sestino,,,,,,,,,
00/06,00,06,2,00,,,,Bivacco Paolo Massi,,,,S,,,
00/05,00,05,1,,,,,,,,,,Monte dei ,Frati,1454
00/09,00,09,1,806,,,,Inn. sent.808 GEA,0:15,,,D,,,
00/09,00,09,2,806,,,,Montagna,,,,S,,,
00/09,00,09,3,,,,,Rifugio Spinella,,,,,,,
00/10,00,10,1,806,,Val di Canale,1:00,Montagna,2:00,Conv. di Montecasale,3:30,D,,,
00/10,00,10,2,808,,Monte Maggiore,1:00,,,P.sso di Bocca Trabaria,4:30,S,,,
00/10,00,10,4,808,,Pian delle Capanne,0:30,Sansepolcro,5:30,P.sso di Viamaggio,3:00,S,,,
00/10,00,10,5,,,,,,,,,,Monte Cucco,,1025
00/01A,00,01A,1,00,,Poggio Tre Termini,1:00,Pian delle Capanne,4:30,Passo di Viamaggio,6:30,D,,,
00/01A,00,01A,2,00,,Passo di Bocca Trabaria,0:30,,,,,,,,
00/01B,00,01B,1,00,,Passo Bocca Trabaria,1:30,,,Poggio del Romito,1:00,D,,,
00/01B,00,01B,2,00,,,,Monte Maggiore,2:20,,,S,,,
00/01B,00,01B,3,85,,Borgo Pace,4:00,,,Lamoli,3:00,,,,
00/01B,00,01B,4,804,,Convento di Montecasale,,,,Sansepolcro,,,,,
00/02,00,02,1,390,,,,Parchiule,2:30,,,D,,,
00/02,00,02,2,00,,Monte Maggiore,0:30,Pian delle Capanne,1:30,Passo di Viamaggio,4:00,S,,,
00/02,00,02,3,00,,Poggio Tre Termini,1:30,,,Passo di Bocca Trabaria,3:00,D,,,
00/04,00,04,1,00,,Poggio Tre Termini,2:00,,,Bocca Trabaria,3:30,D,,,
00/04,00,04,2,00,,Monte dei Frati,0:45,,,Passo di Viamaggio,3:00,S,,,
00/04,00,04,3,808,,Pian delle Capanne,1:00,,,Passo di Viamaggio,3:30,S,,,
00/07,00,07,1,00,,,,Monte Maggiore,1:00,,,D,,,
00/07,00,07,2,00,,Bivio Pian delle Capanne,0:10,Col del Pegli,0:40,Passo di Viamaggio,2:30,S,,,
00/07,00,07,3,819,,Monteviale,1:30,,,Badia Tedalda,2:30,D,,,
00/07,00,07,4,00,,,,,,,,,Il Bruciato,,1396
00/08,00,08,1,00,,Col di Pegli,0:40,,,Passo  di Viamaggio,2:15,D,,,
00/08,00,08,2,808A,,Pian delle Capanne,1:00,Posto tappa GEA ,,Incostudito,,S,,,
00/11,00,11,1,808,,Aboca,2:00,,,Sansepolcro ,5:00,D,,,
00/11,00,11,2,808A,,,,Monte dei Frati,2:00,,,S,,,
00/11,00,11,4,808,,Monte Maggiore,2:00,,,Passo di Bocca Trabaria,5:00,,,,
00/11,00,11,5,,,,,,,,,,Pian delle,Capanne,1028
00/12,00,12,1,808B,,,,Passo di Viamaggio,2:15,,,D,,,
00/12,00,12,2,808B,,,,Inn.sent.808e 808A,0:05,,,S,,,
00/12,00,12,3,,,,,,,,,,Pian delle,Capanne,1028
00/13,00,13,1,808B,,Pian delle Capanne,0:30,Monte Maggiore,2:00,Passo di Bocca Trabaria,5:30,D,,,
00/13,00,13,2,00,,,,Monte dei Frati,2:00,,,,,,
00/13,00,13,4,00,,Monte Verde,1:00,,,Passo di Viamaggio,1:30,s,,,
00/13,00,13,5,,,,,,,,,,Col del Peglio,,1047
00/15,00,15,1,00,,Pian delle Capanne,0:45,,,Passo di Viamaggio,5:45,D,,,
00/15,00,15,2,00,,Monte Verde,0:50,,,Passo di Viamaggio,1:20,S,,,
00/15,00,15,3,,,,,,,,,,,,993
00/16,00,16,1,00,,Passo dello Spugnolo,1:15,monte dei Frati,4:00,Bocca Trabaria,7:00,D,,,
00/16,00,16,3,,,Inn.Sent 021,0:05,Vadazze,1:20,Poggio Tre Vescovi,,,,,
00/16,00,16,4,,,,,,,,,,Passo di ,Viamaggio,983
00/17,00,17,1,00,,Inn. 803,0:05,Valdazze,1:25,Balze,5.:40,D,,,
00/17,00,17,2,021,,Eremo di Cerbaiolo,1:00,,,Pieve Santo Stefano,3:00,S,,,
00/17,00,17,4,00,,Passo dell' Spugnolo,1:20,Monte dei Frati,4:00,Bocca Trabaria,7:00,S,,,
00/17,00,17,5,803,,Svolta del Podere,1:20,Frescianio,2:25,Poggio Tre Vescovi\,5:00,D,,,
00/14,00,14,1,00,,Pian delle Capanne,1:00,,,Bocca Trabaria,6:00,D,,,
00/14,00,14,2,00,,Monte Verde,0:40,,,Passo di Viamaggio,1:15,S,,,
00/14,00,14,3,00,,Svolta del Podere,1:30,,,Badia Tedalda,3:30,S,,,
00/14,00,14,4,00,,,,,,,,,,,988
00/18,00,18,2,00,,Eremo di Cerbaiolo,1:30,,,Pieve Santo Stefano,3:00,S,,,
021/02,021,02,1,021,,,,Pieve Santo Stefano,1:30,,,D,,,
021/02,021,02,2,021,,,,Passo Di Viamaggio,2:15,,,S,,,
021/02,021,02,4,021,,,,Eremo di Cerbaiolo,0:20,,,S,,,
021/02,021,02,5,021,,,,,,,,,Poggio delle Calbane,,800
021/03,021,03,1,021,,Madonna del Faggio,2:00,Valle di Roti,3:30,Valsavignone,7:30,D,,,
021/03,021,03,2,021,,Pieve Santo Stefano,1:00,,,,,S,,,
021/03,021,03,4,021,,Eremo di Cerbaiolo,0:40,,,Passo di Viamaggio,2:00,S,,,
021/04,021,04,1,021,,Passo delle Calbane,2:30,,,Passo di Viamaggio,4:00,D,,,
