Sentiero_n,codice sentiero,ID_Palo,Località,Sogg_Manutentore,Sogg_finanziatore,gruppo_Montuoso,Comune,Regione,Provincia,Quota,Latitudine_N,Longitudine_E,Note,Mappa,Materiale,Stato_Conservazione,Data_Rilievo,Rilevatore,Nome_File_Foto,Esistente /progetto,Lat Dec,Long dec
021,LARE021,021/01,Passo di Viamaggio,CAI Sansepolcro,,Alpe della Luna,Pieve Santo Stefano,Toscana,AR,985,43°40'995,12°06'935,,,Legno,cattivo,feb 2026,Maggini,,Ripristino,"43,68325","12,11558333"
804,LARE804,804/7,Montecasale,CAI Sansepolcro,,Alpe della Luna,Sansepolcro,Toscana,AR,750,43°35'294,12°11'094,,,Legno,buono,,,,Esistente,"43,58823333","12,1849"
00,,00/01,Passo Bocca Trabaria,CAI Sansepolcro / Città di Castello,,Alpe della Luna,San Giustino,Umbria,PG,1048,43°35'710,12°14'123,,,Legno,,,,,Esistente,"43,59516667","12,23538333"
00,,00/01A,Poggio del Romito,CAI Sansepolcro,,Alpe della Luna,San Giustino,Umbria ,PG,1200,43°35'638,12°13'506,,,Legno,Buono,,,,Esistente,"43,59396667","12,2251"
00,,00/01B,Tre Termini,CAI Sansepolcro,,Alpe della Luna,Sansepolcro,Toscana,AR,1173,43°36'697,12°12'805,,,Legno,,,,,Esistente,"43,61161667","12,21341667"
00,,00/02,Sbocco del Bucine,CAI Sansepolcro,,Alpe della Luna,Sansepolcro,Toscana,AR,1232,43°38'690,12°11'022,,,Legno,,,,,Esistente,"43,64483333","12,1837"
00,,00/03,Monte Maggiore,CAI Sansepolcro,,Alpe della Luna,Sansepolcro,Toscana,AR,1384,43°38'973,12°10'575,,,Legno,,,,,Esistente,"43,64955","12,17625"
00,,00/04,Innesto 808-00,CAI Sansepolcro,,Alpe della Luna,Sansepolcro,Toscana,AR,1453,43°38'996,12°10'541,,,Legno,,,,,Esistente,"43,64993333","12,17568333"
00,,00/05,Monte dei Frati,CAI Sansepolcro,,Alpe della Luna,Pieve Santo Stefano,Toscana,AR,1454,43°39'515,12°09'878,,,Legno,,,,,Esistente,"43,65858333","12,16463333"
00,,00/06,Monte dei Frati,CAI Sansepolcro,,Alpe della Luna,Pieve Santo Stefano,Toscana,AR,1453,43°39'536,12°09'851,,,Legno,,,,,Esistente,"43,65893333","12,16418333"
